CustomerKey,GeographyKey,CustomerAlternateKey,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,DateFirstPurchase,Age,BikeBuyer,BinnedColumn,EnglishEducation_Bachelors,EnglishEducation_Graduate Degree,EnglishEducation_High School,EnglishEducation_Partial College,EnglishEducation_Partial High School,EnglishOccupation_Clerical,EnglishOccupation_Management,EnglishOccupation_Manual,EnglishOccupation_Professional,EnglishOccupation_Skilled Manual,CommuteDistance_0-1 Miles,CommuteDistance_1-2 Miles,CommuteDistance_10+ Miles,CommuteDistance_2-5 Miles,CommuteDistance_5-10 Miles
11030,28,AW00011030,M,F,10000,2,1,1,2,8/8/2005,68,1,Bin 3,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
11031,8,AW00011031,M,F,20000,4,0,1,2,8/4/2005,68,1,Bin 3,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
11032,35,AW00011032,M,F,20000,4,0,1,2,8/21/2005,68,1,Bin 3,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
11033,9,AW00011033,M,M,20000,4,0,1,2,8/18/2005,67,1,Bin 3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11034,12,AW00011034,M,F,20000,4,0,1,2,8/4/2005,68,1,Bin 3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11035,33,AW00011035,M,F,10000,2,1,1,2,8/9/2005,67,1,Bin 3,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
11036,343,AW00011036,M,F,60000,0,0,1,2,7/26/2007,36,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11037,49,AW00011037,S,F,40000,0,0,0,2,7/24/2007,37,1,Bin 1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
11038,6,AW00011038,M,F,10000,2,1,1,2,8/10/2005,67,1,Bin 3,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
11039,19,AW00011039,M,M,30000,3,0,1,2,8/10/2005,66,1,Bin 3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
11040,642,AW00011040,M,M,30000,0,0,1,2,10/5/2007,38,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11041,325,AW00011041,M,F,60000,0,0,1,2,7/18/2007,37,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11042,338,AW00011042,M,F,70000,0,0,1,2,7/25/2007,38,1,Bin 1,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
11043,325,AW00011043,M,M,60000,0,0,1,2,11/9/2007,39,0,Bin 1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11044,25,AW00011044,M,M,20000,2,1,1,2,8/31/2005,66,1,Bin 3,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
11045,8,AW00011045,S,M,30000,3,0,0,2,10/12/2007,65,0,Bin 3,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
11046,6,AW00011046,M,F,30000,3,0,1,2,8/9/2005,65,1,Bin 3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11047,34,AW00011047,M,F,30000,3,0,0,2,8/6/2005,65,1,Bin 3,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
11048,39,AW00011048,M,M,30000,3,0,1,2,8/13/2005,64,1,Bin 3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11049,307,AW00011049,S,F,40000,0,0,1,2,9/10/2007,35,0,Bin 1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
11050,31,AW00011050,M,M,30000,3,0,1,2,8/23/2005,64,1,Bin 3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11051,21,AW00011051,S,M,30000,3,0,0,2,7/1/2008,64,0,Bin 3,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
11052,8,AW00011052,S,F,40000,2,0,0,2,8/20/2005,64,1,Bin 3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
11053,359,AW00011053,M,F,60000,0,0,0,2,7/21/2007,35,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11054,34,AW00011054,M,F,40000,2,0,1,2,8/6/2005,63,1,Bin 3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11055,22,AW00011055,M,M,40000,2,0,1,2,8/3/2005,63,1,Bin 3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11056,10,AW00011056,M,F,40000,3,0,1,2,8/29/2005,62,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11057,5,AW00011057,M,M,70000,2,0,1,2,8/25/2005,61,1,Bin 2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
11058,29,AW00011058,M,M,80000,2,0,1,2,9/9/2005,61,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11059,27,AW00011059,S,F,80000,2,0,1,2,8/22/2007,61,0,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11060,40,AW00011060,M,M,80000,2,0,1,2,9/19/2005,61,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11061,23,AW00011061,M,M,80000,2,0,1,2,9/13/2005,61,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11062,547,AW00011062,M,M,40000,0,0,1,2,7/11/2007,40,1,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11063,634,AW00011063,S,F,40000,0,0,1,2,7/16/2007,40,1,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11064,315,AW00011064,M,M,40000,0,0,1,2,7/29/2007,39,1,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11065,331,AW00011065,M,F,60000,0,0,0,2,8/14/2007,41,0,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11066,543,AW00011066,M,F,70000,0,0,1,2,12/2/2007,41,0,Bin 1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
11067,632,AW00011067,S,M,60000,0,0,1,2,2/19/2008,38,0,Bin 1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
11068,40,AW00011068,S,F,80000,2,0,1,2,11/1/2007,59,0,Bin 2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11069,23,AW00011069,S,F,80000,2,0,0,2,10/18/2005,59,1,Bin 2,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
11070,39,AW00011070,M,M,80000,2,0,1,2,10/29/2005,60,1,Bin 2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11071,24,AW00011071,S,F,80000,2,0,1,2,9/2/2007,60,0,Bin 2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11072,17,AW00011072,S,F,80000,2,0,0,2,10/1/2005,60,1,Bin 2,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
11073,16,AW00011073,S,F,70000,2,0,1,2,9/24/2007,59,0,Bin 2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11074,28,AW00011074,S,M,70000,2,0,1,2,9/24/2007,59,0,Bin 2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11075,32,AW00011075,S,F,80000,2,0,1,2,10/29/2005,57,1,Bin 2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
11076,19,AW00011076,S,M,80000,2,0,1,2,10/22/2005,58,1,Bin 2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
11077,36,AW00011077,S,F,80000,2,0,0,2,10/16/2005,57,1,Bin 2,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
11078,49,AW00011078,S,F,40000,0,0,0,2,8/19/2007,41,0,Bin 1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
11079,34,AW00011079,S,M,160000,0,0,1,2,9/16/2007,56,0,Bin 2,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
11080,30,AW00011080,M,M,170000,0,0,1,2,10/11/2005,56,1,Bin 2,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
11081,311,AW00011081,M,F,120000,2,2,1,3,8/16/2007,49,0,Bin 2,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
11082,322,AW00011082,S,F,130000,0,1,0,3,7/26/2007,49,1,Bin 2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
11083,336,AW00011083,M,F,130000,0,1,1,3,7/10/2007,49,1,Bin 2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
11084,543,AW00011084,S,M,80000,2,0,0,2,7/8/2007,58,1,Bin 2,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
11085,345,AW00011085,S,F,60000,2,0,0,2,6/8/2008,58,0,Bin 2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
11086,369,AW00011086,M,M,70000,2,1,1,0,1/3/2008,57,0,Bin 2,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
11087,307,AW00011087,M,F,70000,3,2,0,0,8/29/2007,57,0,Bin 2,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
11088,359,AW00011088,M,M,80000,2,1,1,0,7/17/2007,57,1,Bin 2,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
11089,337,AW00011089,S,F,80000,2,1,1,1,7/2/2007,58,1,Bin 2,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
11090,338,AW00011090,S,M,90000,2,0,1,1,2/7/2006,57,1,Bin 2,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
11091,50,AW00011091,M,M,90000,2,0,1,1,8/2/2007,58,0,Bin 2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
11092,22,AW00011092,M,F,90000,2,2,1,0,10/9/2005,48,1,Bin 1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
11093,19,AW00011093,M,F,100000,0,0,1,0,10/8/2005,48,1,Bin 1,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
11094,33,AW00011094,S,M,70000,1,0,0,1,10/9/2007,53,0,Bin 2,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
11095,13,AW00011095,S,M,70000,1,0,1,1,10/2/2005,53,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11096,12,AW00011096,M,M,60000,1,0,1,1,10/12/2005,53,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11097,40,AW00011097,M,M,60000,1,0,1,1,10/5/2005,53,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11098,14,AW00011098,S,F,60000,1,0,0,1,8/15/2007,54,0,Bin 2,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
11099,13,AW00011099,M,M,60000,1,0,1,1,10/8/2005,54,1,Bin 2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
11100,28,AW00011100,S,F,60000,1,0,1,1,10/17/2005,54,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11101,33,AW00011101,S,F,70000,0,0,0,1,10/30/2005,50,1,Bin 2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
11102,18,AW00011102,S,F,80000,5,5,1,4,1/17/2008,50,0,Bin 2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
11103,3,AW00011103,S,F,70000,0,0,1,1,10/16/2005,50,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11104,23,AW00011104,M,M,70000,0,0,0,1,11/4/2005,51,1,Bin 2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
11105,8,AW00011105,S,F,70000,0,0,0,1,11/14/2005,50,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11106,40,AW00011106,S,M,70000,0,0,0,1,11/18/2005,51,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11107,17,AW00011107,M,F,90000,1,0,1,1,11/1/2005,56,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11108,13,AW00011108,S,F,70000,0,0,0,2,11/3/2005,52,1,Bin 2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
11109,38,AW00011109,S,M,70000,0,0,0,2,11/10/2005,51,1,Bin 2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
11110,3,AW00011110,M,M,60000,1,0,1,1,11/1/2005,53,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11111,34,AW00011111,M,F,60000,1,0,1,1,11/20/2005,53,1,Bin 2,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
11112,25,AW00011112,M,F,60000,1,0,1,1,11/25/2005,53,1,Bin 2,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
11113,30,AW00011113,M,M,70000,5,4,1,2,8/5/2007,53,0,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11114,14,AW00011114,S,F,70000,5,4,1,2,9/19/2007,53,0,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11115,17,AW00011115,M,M,70000,5,4,1,2,8/14/2007,53,0,Bin 2,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
11116,18,AW00011116,M,M,70000,5,4,1,2,9/16/2007,52,0,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11117,8,AW00011117,M,F,70000,5,4,1,3,11/6/2005,54,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
11118,6,AW00011118,S,M,80000,1,0,0,1,1/11/2008,58,0,Bin 2,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
11119,13,AW00011119,S,M,30000,2,0,0,2,8/7/2007,80,0,Bin 4,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
11120,18,AW00011120,S,F,40000,2,0,1,1,11/14/2005,79,1,Bin 4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
11121,10,AW00011121,M,M,70000,5,4,1,3,12/26/2007,54,0,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
11122,12,AW00011122,M,M,70000,5,4,1,3,8/25/2007,55,0,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11123,39,AW00011123,M,M,70000,5,4,1,3,10/19/2007,55,0,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
11124,40,AW00011124,S,M,80000,1,0,1,1,11/5/2005,58,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11125,37,AW00011125,S,F,70000,1,0,1,1,8/4/2007,59,0,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11126,11,AW00011126,M,M,10000,2,1,0,2,11/28/2005,66,1,Bin 3,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
11127,361,AW00011127,M,F,40000,0,0,1,1,10/12/2007,39,0,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11128,635,AW00011128,M,F,40000,0,0,1,1,12/21/2007,39,0,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11129,638,AW00011129,S,F,40000,0,0,1,1,2/6/2006,40,1,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11130,543,AW00011130,M,F,30000,0,0,1,2,6/11/2008,35,0,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11131,50,AW00011131,M,F,30000,0,0,0,2,4/20/2008,35,0,Bin 1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
11132,51,AW00011132,S,F,30000,0,0,0,2,10/11/2007,34,1,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11133,542,AW00011133,S,F,30000,0,0,0,2,7/2/2008,35,0,Bin 1,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
11134,30,AW00011134,S,M,10000,5,0,1,2,11/3/2005,69,1,Bin 3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11135,302,AW00011135,S,M,30000,0,0,0,2,10/20/2007,35,1,Bin 1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
11136,53,AW00011136,S,F,40000,0,0,0,2,7/7/2007,36,1,Bin 1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
11137,641,AW00011137,M,F,40000,0,0,1,2,2/1/2008,37,0,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11138,325,AW00011138,M,F,40000,0,0,0,2,3/22/2008,36,0,Bin 1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
11139,28,AW00011139,S,F,30000,2,0,0,2,3/17/2008,76,0,Bin 3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
11140,301,AW00011140,S,M,30000,0,0,0,2,9/20/2007,38,0,Bin 1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
11141,314,AW00011141,M,F,40000,0,0,0,2,11/17/2007,38,0,Bin 1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
11142,51,AW00011142,S,M,40000,0,0,0,2,8/17/2007,38,0,Bin 1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
11143,334,AW00011143,M,M,40000,0,0,1,2,12/17/2007,38,0,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11144,607,AW00011144,S,M,40000,0,0,0,2,7/29/2007,36,1,Bin 1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
11145,536,AW00011145,S,F,40000,0,0,0,2,7/29/2007,35,1,Bin 1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
11146,8,AW00011146,S,F,40000,2,0,1,2,8/9/2007,76,0,Bin 3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
11147,40,AW00011147,M,M,60000,2,0,1,1,11/13/2005,76,1,Bin 3,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
11148,22,AW00011148,M,M,40000,2,0,1,2,9/8/2007,74,0,Bin 3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
11149,25,AW00011149,M,M,40000,2,0,1,2,12/6/2007,74,0,Bin 3,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11150,39,AW00011150,S,M,40000,2,0,1,2,9/28/2007,74,0,Bin 3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
11151,18,AW00011151,S,F,60000,2,0,0,1,11/15/2005,73,1,Bin 3,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
11152,633,AW00011152,S,M,40000,0,0,1,2,7/13/2007,39,1,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11153,635,AW00011153,M,F,40000,0,0,1,2,9/30/2007,39,0,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11154,553,AW00011154,S,F,40000,0,0,1,1,7/14/2007,39,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11155,301,AW00011155,S,M,40000,0,0,0,1,7/10/2007,39,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11156,334,AW00011156,S,F,40000,0,0,0,1,7/12/2007,39,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11157,642,AW00011157,M,F,40000,0,0,1,2,1/25/2008,40,0,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11158,361,AW00011158,S,M,40000,0,0,1,2,7/23/2007,39,1,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11159,385,AW00011159,S,F,40000,0,0,0,2,3/11/2008,39,0,Bin 1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
11160,311,AW00011160,S,M,40000,0,0,0,1,8/25/2007,41,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11161,311,AW00011161,S,F,40000,0,0,0,1,12/3/2007,41,0,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11162,331,AW00011162,S,M,40000,0,0,1,1,8/22/2007,41,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11163,372,AW00011163,M,M,40000,0,0,1,1,11/2/2007,40,0,Bin 1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11164,374,AW00011164,S,M,40000,0,0,0,1,10/29/2007,41,0,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11165,348,AW00011165,M,F,60000,0,0,0,1,11/26/2007,42,0,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11166,631,AW00011166,S,F,70000,0,0,0,2,4/16/2008,43,0,Bin 1,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
11167,618,AW00011167,S,F,80000,0,0,0,1,7/11/2007,43,1,Bin 1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11168,348,AW00011168,S,M,80000,0,0,0,1,7/19/2007,47,1,Bin 1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11169,312,AW00011169,M,M,90000,4,4,1,1,11/27/2007,47,0,Bin 1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11170,612,AW00011170,M,F,90000,4,4,1,1,2/27/2008,47,0,Bin 1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11171,385,AW00011171,S,M,100000,1,0,1,2,2/20/2006,47,1,Bin 1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
11172,626,AW00011172,M,F,100000,1,0,1,2,11/4/2007,47,0,Bin 1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
11173,552,AW00011173,S,F,110000,0,0,0,4,9/3/2007,48,0,Bin 1,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
11174,338,AW00011174,M,M,110000,0,1,1,0,1/14/2008,48,0,Bin 1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
11175,300,AW00011175,S,M,70000,0,0,1,2,2/28/2006,52,1,Bin 2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11176,50,AW00011176,M,M,90000,4,4,1,1,8/6/2007,47,0,Bin 1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
11177,359,AW00011177,M,M,110000,2,4,1,2,9/30/2007,73,0,Bin 3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
11178,334,AW00011178,M,M,100000,2,3,1,3,8/25/2007,72,0,Bin 3,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
11179,300,AW00011179,M,F,120000,2,4,1,3,9/13/2007,72,0,Bin 3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
11180,307,AW00011180,M,F,160000,1,3,1,4,9/18/2007,72,0,Bin 3,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11181,338,AW00011181,M,M,170000,2,3,1,2,11/8/2007,72,0,Bin 3,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
