CustomerKey,GeographyKey,CustomerAlternateKey,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,DateFirstPurchase,CommuteDistance,Age,BikeBuyer
28495,221,AW00028495,S,F,10000,1,1,0,1,11/8/2007,1-2 Miles,54,0
16514,7,AW00016514,S,M,10000,0,0,1,1,7/13/2005,1-2 Miles,35,1
14490,312,AW00014490,M,M,70000,3,0,1,2,6/6/2008,5-10 Miles,61,0
20341,52,AW00020341,M,M,70000,5,4,1,3,1/29/2008,5-10 Miles,54,0
22831,214,AW00022831,S,M,70000,5,1,1,3,11/2/2007,10+ Miles,66,0
23389,539,AW00023389,M,M,40000,0,0,0,1,10/31/2007,0-1 Miles,54,0
26733,609,AW00026733,M,M,40000,3,0,1,2,4/24/2008,5-10 Miles,63,0
18622,229,AW00018622,S,M,20000,0,0,0,2,5/27/2008,0-1 Miles,42,0
16201,247,AW00016201,S,M,20000,0,0,1,2,7/21/2006,1-2 Miles,44,1
29319,14,AW00029319,S,M,70000,1,0,0,1,11/3/2007,0-1 Miles,58,1
19531,310,AW00019531,S,M,60000,0,0,0,1,8/12/2007,2-5 Miles,47,1
21165,6,AW00021165,S,F,80000,4,4,1,0,7/31/2006,0-1 Miles,46,1
23435,8,AW00023435,S,F,70000,0,0,0,1,2/21/2007,0-1 Miles,47,1
24790,301,AW00024790,M,F,40000,1,1,1,1,3/15/2008,2-5 Miles,45,1
22580,23,AW00022580,S,F,10000,1,1,0,0,11/3/2006,1-2 Miles,36,1
22839,23,AW00022839,S,F,60000,0,0,0,3,8/9/2007,2-5 Miles,40,0
11357,21,AW00011357,S,M,10000,0,0,0,1,12/19/2005,2-5 Miles,36,1
18125,178,AW00018125,M,F,130000,2,3,1,4,7/2/2006,5-10 Miles,57,1
16123,50,AW00016123,M,F,40000,4,2,1,2,5/8/2008,2-5 Miles,54,1
21889,4,AW00021889,M,F,110000,0,5,1,3,9/11/2006,10+ Miles,42,1
24374,15,AW00024374,S,M,60000,3,3,0,1,7/30/2008,0-1 Miles,49,0
24314,314,AW00024314,M,M,120000,2,2,1,4,9/18/2007,2-5 Miles,49,0
14727,545,AW00014727,S,F,60000,0,0,1,0,1/8/2006,1-2 Miles,49,1
27130,237,AW00027130,S,M,60000,0,0,1,0,4/28/2008,0-1 Miles,46,1
27569,385,AW00027569,S,F,70000,2,0,1,1,6/13/2007,2-5 Miles,55,1
20933,262,AW00020933,S,F,30000,4,4,1,3,2/21/2007,0-1 Miles,37,1
26125,641,AW00026125,S,F,40000,4,0,1,2,12/5/2007,5-10 Miles,64,0
27918,302,AW00027918,M,F,70000,0,0,1,2,8/19/2005,5-10 Miles,43,1
16929,31,AW00016929,M,F,30000,2,0,0,2,8/17/2005,5-10 Miles,69,1
16373,623,AW00016373,M,F,40000,1,0,1,1,10/18/2007,1-2 Miles,58,1
14058,20,AW00014058,S,M,70000,0,0,0,1,2/7/2007,5-10 Miles,50,1
20751,298,AW00020751,M,M,30000,1,0,0,2,6/15/2008,1-2 Miles,59,1
15938,634,AW00015938,M,M,100000,4,1,1,4,4/27/2008,0-1 Miles,50,0
27653,49,AW00027653,M,F,30000,4,0,1,2,11/19/2007,5-10 Miles,80,0
16017,347,AW00016017,M,M,60000,0,0,0,1,2/1/2008,1-2 Miles,36,0
23559,53,AW00023559,S,F,30000,0,0,0,2,8/4/2007,5-10 Miles,36,0
20407,19,AW00020407,M,M,20000,2,1,1,2,2/15/2008,5-10 Miles,66,0
28914,275,AW00028914,M,F,170000,0,5,0,4,11/11/2007,10+ Miles,64,0
25904,618,AW00025904,S,M,60000,3,1,1,2,6/4/2008,10+ Miles,61,0
29170,302,AW00029170,S,F,60000,1,0,0,1,1/3/2006,0-1 Miles,56,1
25070,49,AW00025070,M,F,60000,4,4,1,3,3/21/2008,10+ Miles,51,0
21436,611,AW00021436,S,F,70000,1,0,1,1,6/28/2008,2-5 Miles,52,1
26632,609,AW00026632,M,F,60000,1,0,1,1,12/17/2006,2-5 Miles,54,1
25017,6,AW00025017,M,F,10000,2,1,1,2,2/27/2008,1-2 Miles,67,0
26352,115,AW00026352,S,F,40000,0,0,0,0,4/3/2008,0-1 Miles,47,1
20507,642,AW00020507,M,M,70000,4,0,0,2,12/16/2007,2-5 Miles,70,0
24402,385,AW00024402,S,M,170000,0,0,0,3,6/20/2008,1-2 Miles,51,1
28134,5,AW00028134,M,M,80000,2,0,0,2,6/10/2008,1-2 Miles,58,1
22562,221,AW00022562,S,F,10000,2,0,1,0,9/15/2007,0-1 Miles,59,0
19703,300,AW00019703,M,F,60000,2,0,0,2,8/22/2007,5-10 Miles,59,0
24747,300,AW00024747,S,M,20000,2,1,1,2,7/16/2008,1-2 Miles,58,0
17336,312,AW00017336,S,M,30000,0,0,0,2,8/29/2007,0-1 Miles,39,0
13032,343,AW00013032,M,M,70000,0,0,1,2,7/3/2006,5-10 Miles,38,1
17515,20,AW00017515,S,F,130000,0,0,0,3,10/14/2005,0-1 Miles,57,1
12236,132,AW00012236,M,F,20000,1,0,1,0,1/14/2008,0-1 Miles,74,0
18627,245,AW00018627,S,F,40000,2,2,1,0,5/30/2007,1-2 Miles,43,1
16773,553,AW00016773,M,M,60000,1,0,1,0,1/9/2008,0-1 Miles,42,0
21594,322,AW00021594,M,F,50000,2,2,1,0,5/9/2008,0-1 Miles,46,1
22750,315,AW00022750,M,M,70000,5,0,1,4,4/20/2008,2-5 Miles,69,0
11962,298,AW00011962,S,F,60000,0,0,0,2,2/12/2008,1-2 Miles,38,0
22187,539,AW00022187,S,F,50000,0,0,1,2,7/4/2008,5-10 Miles,41,0
19091,28,AW00019091,S,M,80000,0,0,0,3,12/21/2007,10+ Miles,42,0
22828,264,AW00022828,M,M,160000,4,5,1,3,7/18/2007,0-1 Miles,65,1
20418,6,AW00020418,M,M,30000,3,0,0,2,5/25/2006,1-2 Miles,65,1
28018,355,AW00028018,S,F,30000,2,1,1,3,8/2/2005,10+ Miles,70,1
29050,298,AW00029050,S,M,40000,0,0,1,1,6/12/2008,5-10 Miles,36,0
22698,211,AW00022698,M,M,10000,0,0,0,2,10/15/2007,0-1 Miles,40,0
17573,339,AW00017573,S,F,50000,2,2,0,0,2/14/2008,0-1 Miles,46,1
28778,49,AW00028778,M,M,30000,1,0,1,1,2/2/2006,2-5 Miles,60,1
29299,15,AW00029299,M,F,60000,1,0,1,1,5/9/2008,5-10 Miles,54,1
17125,69,AW00017125,M,F,20000,3,0,0,2,4/10/2008,0-1 Miles,60,1
27459,301,AW00027459,M,M,130000,1,0,1,2,6/21/2007,0-1 Miles,46,1
19333,133,AW00019333,M,F,30000,1,1,1,2,5/30/2008,0-1 Miles,50,0
14534,207,AW00014534,S,F,10000,1,0,1,0,5/7/2008,0-1 Miles,54,0
21367,13,AW00021367,M,F,20000,2,1,1,2,8/25/2007,5-10 Miles,67,0
27034,611,AW00027034,S,M,20000,3,0,1,2,3/8/2008,1-2 Miles,59,0
22855,28,AW00022855,M,F,110000,0,5,0,3,5/31/2008,10+ Miles,42,0
29279,335,AW00029279,S,F,70000,3,0,1,2,2/17/2006,5-10 Miles,62,1
27620,310,AW00027620,S,F,130000,2,2,0,2,3/25/2008,0-1 Miles,51,0
26271,359,AW00026271,M,F,20000,2,1,1,2,1/23/2008,0-1 Miles,57,0
22607,171,AW00022607,S,F,20000,0,0,0,1,12/15/2007,1-2 Miles,45,1
27382,310,AW00027382,S,F,50000,3,0,1,2,10/15/2007,10+ Miles,78,0
23690,314,AW00023690,M,M,40000,4,0,0,2,8/5/2007,1-2 Miles,68,0
15966,548,AW00015966,M,F,60000,2,0,0,2,3/2/2008,1-2 Miles,60,0
16771,49,AW00016771,M,M,50000,1,1,1,0,8/27/2007,1-2 Miles,42,0
17375,8,AW00017375,M,F,10000,2,1,1,2,11/6/2007,1-2 Miles,68,0
12826,133,AW00012826,S,M,10000,5,3,1,2,5/21/2007,0-1 Miles,50,1
24793,336,AW00024793,M,M,40000,1,1,1,1,4/17/2008,0-1 Miles,45,1
19093,32,AW00019093,S,F,100000,0,5,1,2,1/12/2006,10+ Miles,40,1
21636,385,AW00021636,M,F,50000,3,3,1,3,1/26/2008,10+ Miles,49,0
15195,311,AW00015195,S,M,120000,2,2,1,3,7/13/2006,2-5 Miles,49,1
13131,36,AW00013131,M,F,90000,1,0,1,1,12/25/2006,2-5 Miles,56,1
12481,152,AW00012481,S,M,10000,5,2,1,1,9/9/2007,0-1 Miles,51,0
22283,546,AW00022283,S,M,60000,4,4,1,2,2/21/2008,2-5 Miles,51,0
19489,184,AW00019489,S,F,30000,2,2,1,2,3/1/2008,0-1 Miles,51,0
14464,358,AW00014464,M,F,130000,1,2,1,4,6/18/2007,2-5 Miles,53,1
15789,26,AW00015789,S,F,110000,0,0,0,2,6/4/2007,0-1 Miles,49,1
19581,35,AW00019581,M,M,70000,5,5,1,4,3/22/2008,10+ Miles,50,0
25155,311,AW00025155,S,F,110000,3,2,1,4,11/30/2007,2-5 Miles,50,1
25749,185,AW00025749,M,F,30000,1,0,0,0,8/4/2007,0-1 Miles,46,1
20706,347,AW00020706,S,F,70000,0,0,1,1,2/29/2008,2-5 Miles,47,1
25924,355,AW00025924,S,F,70000,0,0,0,2,11/13/2005,0-1 Miles,36,1
28544,135,AW00028544,S,M,30000,0,0,0,1,4/22/2008,1-2 Miles,41,0
12627,255,AW00012627,S,F,20000,1,1,0,0,10/23/2007,0-1 Miles,47,0
12210,247,AW00012210,M,M,10000,0,0,0,0,9/16/2006,0-1 Miles,36,1
22928,2,AW00022928,S,F,70000,0,0,0,1,12/15/2007,5-10 Miles,52,0
14934,245,AW00014934,S,M,30000,1,1,0,0,5/13/2008,1-2 Miles,48,0
25034,28,AW00025034,S,F,80000,2,0,1,2,2/4/2007,5-10 Miles,59,1
23821,614,AW00023821,S,M,40000,0,0,1,0,5/20/2008,1-2 Miles,42,1
27857,205,AW00027857,S,F,10000,2,0,0,1,9/15/2007,2-5 Miles,73,0
19505,229,AW00019505,S,M,30000,4,4,1,2,12/19/2007,0-1 Miles,37,0
16018,358,AW00016018,S,F,60000,0,0,0,1,8/8/2007,1-2 Miles,36,0
16202,196,AW00016202,S,M,30000,0,0,0,1,4/11/2008,2-5 Miles,44,0
28433,204,AW00028433,S,F,20000,0,0,0,1,6/24/2008,2-5 Miles,39,0
17222,214,AW00017222,M,F,70000,5,1,1,3,1/15/2008,10+ Miles,67,0
17692,609,AW00017692,S,F,50000,0,0,0,0,3/7/2008,0-1 Miles,41,0
23698,301,AW00023698,M,F,30000,2,1,1,2,6/28/2008,1-2 Miles,70,0
25150,337,AW00025150,S,M,80000,2,1,1,1,11/7/2007,2-5 Miles,57,1
23978,268,AW00023978,M,M,10000,1,0,0,0,7/8/2008,0-1 Miles,57,0
22333,546,AW00022333,M,F,40000,1,0,1,1,9/5/2007,1-2 Miles,84,0
28399,250,AW00028399,M,M,30000,2,2,1,0,5/1/2008,0-1 Miles,52,1
25213,28,AW00025213,S,F,70000,0,0,1,1,5/15/2007,5-10 Miles,51,1
21472,325,AW00021472,M,M,70000,2,1,1,1,9/6/2007,2-5 Miles,67,0
18332,33,AW00018332,M,M,30000,2,0,0,2,12/29/2005,0-1 Miles,75,1
21111,250,AW00021111,S,M,30000,4,4,1,2,8/12/2007,0-1 Miles,36,0
27193,336,AW00027193,S,M,50000,0,0,1,0,4/2/2007,1-2 Miles,41,1
21591,310,AW00021591,M,M,40000,1,1,1,1,6/24/2008,0-1 Miles,44,0
16147,335,AW00016147,M,M,80000,1,0,1,1,4/28/2008,0-1 Miles,56,1
17425,548,AW00017425,M,M,100000,1,2,1,3,5/16/2008,5-10 Miles,53,1
11212,53,AW00011212,M,F,40000,2,1,1,2,8/3/2007,2-5 Miles,65,0
17213,229,AW00017213,M,M,120000,4,5,1,3,12/21/2007,10+ Miles,63,0
22460,245,AW00022460,S,M,20000,1,1,1,0,4/13/2008,2-5 Miles,47,1
29120,23,AW00029120,S,F,100000,1,0,1,4,12/10/2007,2-5 Miles,57,0
26135,7,AW00026135,M,F,90000,3,3,1,0,9/20/2006,1-2 Miles,48,1
28596,355,AW00028596,S,F,20000,3,0,0,2,6/16/2008,1-2 Miles,59,0
19046,158,AW00019046,M,F,110000,3,4,1,4,3/20/2007,10+ Miles,69,1
13848,552,AW00013848,S,F,40000,4,4,1,2,8/13/2007,0-1 Miles,43,0
16223,338,AW00016223,M,M,30000,1,0,1,1,8/18/2007,1-2 Miles,62,1
22449,206,AW00022449,M,F,40000,0,0,1,0,8/28/2007,0-1 Miles,46,1
24250,14,AW00024250,M,F,30000,2,0,1,2,4/23/2007,5-10 Miles,68,1
22412,35,AW00022412,M,M,20000,0,0,0,0,11/1/2006,0-1 Miles,37,1
13124,24,AW00013124,S,M,70000,0,0,0,1,5/2/2008,5-10 Miles,51,0
26296,618,AW00026296,M,F,50000,1,1,1,0,8/8/2006,2-5 Miles,43,1
23085,30,AW00023085,M,M,20000,2,1,1,2,4/19/2008,5-10 Miles,67,0
18782,326,AW00018782,M,M,80000,0,0,1,1,6/20/2008,1-2 Miles,43,1
23139,307,AW00023139,S,M,60000,2,0,0,2,12/8/2007,1-2 Miles,59,1
15235,33,AW00015235,M,F,60000,3,2,1,2,12/26/2007,0-1 Miles,55,0
20125,623,AW00020125,M,F,60000,1,0,1,0,11/30/2007,1-2 Miles,43,0
19052,186,AW00019052,M,F,90000,4,2,1,2,7/16/2006,2-5 Miles,61,1
17358,383,AW00017358,M,F,60000,0,0,1,1,12/16/2007,5-10 Miles,39,1
25838,331,AW00025838,S,F,60000,3,0,1,2,7/2/2008,10+ Miles,77,0
20849,269,AW00020849,S,F,20000,0,0,1,1,4/5/2008,2-5 Miles,45,0
21879,33,AW00021879,S,M,70000,0,0,0,3,4/16/2008,10+ Miles,40,0
24601,34,AW00024601,S,F,90000,0,0,0,3,6/6/2007,10+ Miles,42,1
12969,68,AW00012969,M,M,40000,4,2,0,2,11/16/2007,0-1 Miles,55,0
26991,170,AW00026991,M,M,30000,0,0,0,1,1/8/2008,1-2 Miles,43,1
21572,7,AW00021572,M,M,130000,0,5,1,4,9/8/2006,0-1 Miles,44,1
27674,336,AW00027674,M,F,40000,3,0,1,2,2/21/2008,5-10 Miles,63,0
23609,216,AW00023609,S,M,70000,5,1,1,2,11/17/2007,10+ Miles,71,0
19598,18,AW00019598,M,F,60000,1,0,1,1,2/9/2006,5-10 Miles,52,1
21534,250,AW00021534,S,M,130000,4,5,0,3,6/1/2007,0-1 Miles,63,1
18773,336,AW00018773,M,F,40000,0,0,1,1,11/20/2007,5-10 Miles,39,0
26196,329,AW00026196,S,M,40000,0,0,1,2,2/23/2008,5-10 Miles,40,0
15288,307,AW00015288,M,M,50000,1,0,1,0,8/2/2006,1-2 Miles,42,1
22952,34,AW00022952,M,M,70000,0,0,0,1,8/27/2007,0-1 Miles,52,0
24662,372,AW00024662,S,F,70000,2,1,0,1,8/17/2007,2-5 Miles,68,1
27492,35,AW00027492,M,M,30000,3,0,1,2,6/14/2007,5-10 Miles,63,1
15071,187,AW00015071,S,F,30000,0,0,1,0,12/11/2006,0-1 Miles,44,1
13278,307,AW00013278,S,M,110000,2,2,1,3,8/29/2006,2-5 Miles,49,1
16967,546,AW00016967,S,M,70000,3,0,1,0,5/13/2008,2-5 Miles,45,1
12445,546,AW00012445,M,M,40000,1,0,1,1,2/9/2008,1-2 Miles,58,0
25908,337,AW00025908,M,F,60000,0,0,0,1,7/29/2008,1-2 Miles,36,0
16821,161,AW00016821,M,F,130000,2,3,0,4,1/4/2007,5-10 Miles,57,1
28761,315,AW00028761,S,M,40000,3,3,0,0,11/5/2005,0-1 Miles,39,1
26136,8,AW00026136,M,F,90000,3,3,1,0,2/11/2008,0-1 Miles,48,0
23114,50,AW00023114,S,F,60000,0,0,0,2,2/10/2006,5-10 Miles,41,1
27213,641,AW00027213,S,F,20000,3,0,0,2,4/14/2008,0-1 Miles,59,0
25479,210,AW00025479,M,M,40000,0,0,0,0,4/19/2008,0-1 Miles,49,1
19025,545,AW00019025,S,M,60000,2,1,1,2,9/15/2007,10+ Miles,62,0
15257,611,AW00015257,S,M,40000,0,0,1,2,8/7/2007,5-10 Miles,37,0
19571,19,AW00019571,S,F,80000,5,5,1,3,9/17/2007,0-1 Miles,48,0
12260,236,AW00012260,M,F,30000,4,0,1,0,8/17/2007,0-1 Miles,54,0
26205,242,AW00026205,M,M,130000,2,4,1,2,6/1/2008,0-1 Miles,56,1
21500,642,AW00021500,M,M,70000,2,1,1,2,8/22/2007,10+ Miles,63,0
25722,208,AW00025722,S,M,20000,1,1,0,0,7/13/2007,0-1 Miles,54,1
21291,626,AW00021291,M,F,100000,1,2,1,3,6/21/2008,5-10 Miles,52,1
26105,310,AW00026105,M,F,110000,3,3,0,4,12/14/2007,2-5 Miles,54,0
26545,315,AW00026545,M,F,60000,0,0,0,2,11/15/2006,1-2 Miles,37,1
17033,307,AW00017033,S,M,60000,5,4,1,1,10/15/2007,2-5 Miles,56,0
17652,131,AW00017652,M,M,50000,0,0,0,0,10/25/2007,0-1 Miles,44,0
15626,155,AW00015626,M,M,40000,1,1,1,1,8/31/2006,1-2 Miles,43,1
22121,50,AW00022121,M,M,40000,3,0,0,2,11/18/2005,1-2 Miles,63,1
23584,642,AW00023584,M,M,70000,0,0,0,2,5/8/2008,0-1 Miles,43,1
13794,276,AW00013794,S,F,20000,2,2,1,2,9/30/2005,0-1 Miles,51,1
12666,25,AW00012666,S,M,60000,0,0,0,4,5/6/2008,2-5 Miles,40,0
26919,29,AW00026919,S,M,10000,0,0,1,2,4/26/2007,0-1 Miles,39,1
15866,54,AW00015866,S,F,60000,1,0,1,0,9/15/2007,0-1 Miles,44,0
23270,314,AW00023270,M,F,40000,1,0,1,1,2/3/2008,1-2 Miles,58,1
18175,196,AW00018175,M,F,90000,4,1,0,3,5/25/2006,5-10 Miles,65,1
11334,269,AW00011334,M,F,10000,1,0,1,0,9/4/2005,0-1 Miles,54,1
27011,637,AW00027011,M,M,40000,3,3,1,0,6/29/2008,1-2 Miles,39,0
15716,24,AW00015716,S,M,70000,0,0,0,2,5/23/2007,10+ Miles,40,1
13297,307,AW00013297,M,M,110000,1,3,1,4,1/27/2008,5-10 Miles,54,0
28613,616,AW00028613,M,M,30000,2,0,1,2,5/28/2008,1-2 Miles,59,0
19500,269,AW00019500,M,M,40000,1,0,1,0,5/23/2007,0-1 Miles,52,1
14344,23,AW00014344,S,M,30000,2,0,1,2,10/21/2007,5-10 Miles,75,0
13854,307,AW00013854,M,M,50000,1,0,1,0,1/25/2007,0-1 Miles,41,1
14848,186,AW00014848,S,M,30000,0,0,0,1,11/12/2006,2-5 Miles,40,1
15434,38,AW00015434,M,M,20000,4,0,0,2,11/2/2007,1-2 Miles,70,0
19611,2,AW00019611,S,F,70000,0,0,0,1,2/21/2006,0-1 Miles,51,1
11076,19,AW00011076,S,M,80000,2,0,1,2,10/22/2005,5-10 Miles,58,1
11651,49,AW00011651,M,F,60000,1,0,1,0,9/5/2007,2-5 Miles,43,0
22111,311,AW00022111,M,F,60000,2,0,0,2,6/3/2008,1-2 Miles,60,1
17000,307,AW00017000,S,F,70000,4,2,1,2,5/15/2008,2-5 Miles,52,1
21814,552,AW00021814,M,M,60000,2,1,1,2,1/11/2008,10+ Miles,63,0
17085,269,AW00017085,M,M,40000,1,1,1,0,12/15/2006,0-1 Miles,41,1
26191,4,AW00026191,M,M,40000,2,0,0,2,10/30/2006,0-1 Miles,72,1
27424,331,AW00027424,S,M,60000,2,1,1,0,5/24/2007,10+ Miles,66,1
20895,204,AW00020895,S,M,30000,1,1,0,1,6/3/2008,0-1 Miles,48,1
12323,219,AW00012323,M,M,80000,4,2,1,2,12/25/2005,10+ Miles,64,1
21112,192,AW00021112,M,M,30000,5,5,0,3,12/2/2007,0-1 Miles,38,0
17459,299,AW00017459,M,F,70000,3,1,1,0,12/28/2007,5-10 Miles,61,0
21209,23,AW00021209,S,M,70000,0,0,0,1,3/10/2008,5-10 Miles,50,0
16291,204,AW00016291,S,F,30000,2,2,1,2,4/9/2007,0-1 Miles,51,1
28277,609,AW00028277,S,F,40000,3,0,1,2,7/24/2008,5-10 Miles,80,0
23241,611,AW00023241,S,M,40000,3,3,1,2,12/15/2007,0-1 Miles,40,0
22788,374,AW00022788,M,M,70000,2,1,0,3,1/14/2008,2-5 Miles,62,1
14489,325,AW00014489,M,M,70000,3,0,1,2,4/29/2008,5-10 Miles,62,0
16936,217,AW00016936,M,F,10000,1,0,1,0,8/22/2007,0-1 Miles,79,0
24960,49,AW00024960,S,F,70000,5,0,0,3,7/21/2006,2-5 Miles,69,1
23358,310,AW00023358,M,M,60000,0,0,1,2,2/17/2008,5-10 Miles,41,1
27443,347,AW00027443,S,F,60000,3,1,1,2,10/29/2007,10+ Miles,61,0
28420,223,AW00028420,M,F,40000,1,0,1,1,1/22/2006,0-1 Miles,53,1
17885,193,AW00017885,M,M,30000,4,0,1,0,6/16/2007,0-1 Miles,53,1
16146,609,AW00016146,M,F,80000,1,0,1,0,4/19/2008,0-1 Miles,56,1
11936,634,AW00011936,M,M,30000,0,0,1,1,10/7/2007,5-10 Miles,38,0
22943,18,AW00022943,S,M,60000,1,0,0,1,12/13/2006,0-1 Miles,54,1
24133,198,AW00024133,S,F,20000,0,0,1,2,11/13/2007,1-2 Miles,41,0
22676,193,AW00022676,S,F,30000,2,2,1,1,8/27/2007,0-1 Miles,50,0
17068,25,AW00017068,S,M,70000,0,0,0,1,12/31/2007,5-10 Miles,47,0
26195,343,AW00026195,S,F,40000,0,0,1,1,8/6/2007,5-10 Miles,39,0
29388,193,AW00029388,M,M,40000,0,0,1,0,1/20/2007,0-1 Miles,49,1
27919,618,AW00027919,S,M,70000,0,0,1,2,8/30/2005,5-10 Miles,42,1
23077,14,AW00023077,M,M,20000,4,0,1,2,9/24/2007,5-10 Miles,68,0
20928,149,AW00020928,S,M,30000,3,3,1,1,4/30/2008,0-1 Miles,35,0
12592,232,AW00012592,M,F,30000,4,0,1,0,12/29/2007,0-1 Miles,54,0
22711,131,AW00022711,S,M,30000,0,0,0,1,1/18/2008,0-1 Miles,42,1
21465,360,AW00021465,M,M,70000,5,0,1,3,7/14/2007,10+ Miles,69,1
25816,15,AW00025816,M,F,80000,0,0,0,3,1/31/2008,10+ Miles,40,0
24195,183,AW00024195,M,F,10000,2,2,1,0,11/15/2007,0-1 Miles,44,0
14390,369,AW00014390,M,M,60000,2,1,0,0,5/6/2008,2-5 Miles,67,0
23923,236,AW00023923,S,M,40000,0,0,1,0,12/18/2007,0-1 Miles,48,1
13455,359,AW00013455,M,F,130000,3,3,1,3,12/12/2007,2-5 Miles,54,1
26743,17,AW00026743,S,M,70000,1,0,1,1,2/14/2007,5-10 Miles,53,1
21862,206,AW00021862,M,F,90000,4,1,1,3,11/24/2007,10+ Miles,67,0
21942,626,AW00021942,M,F,80000,5,0,1,0,9/5/2007,0-1 Miles,57,1
29366,237,AW00029366,S,M,40000,0,0,0,0,5/23/2008,0-1 Miles,48,1
12980,612,AW00012980,M,M,80000,2,0,1,0,7/8/2006,0-1 Miles,56,1
14729,298,AW00014729,S,F,60000,0,0,1,0,1/14/2008,0-1 Miles,49,0
